seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_bg_accuracy,eval_cs_accuracy,eval_de_accuracy,eval_es_accuracy,eval_lv_accuracy,eval_af_accuracy,eval_ar_accuracy,eval_ca_accuracy,eval_da_accuracy,eval_el_accuracy,eval_fa_accuracy,eval_fi_accuracy,eval_fr_accuracy,eval_he_accuracy,eval_hi_accuracy,eval_hu_accuracy,eval_it_accuracy,eval_ja_accuracy,eval_ko_accuracy,eval_lt_accuracy,eval_no_accuracy,eval_pl_accuracy,eval_pt_accuracy,eval_ro_accuracy,eval_ru_accuracy,eval_sk_accuracy,eval_sl_accuracy,eval_sv_accuracy,eval_ta_accuracy,eval_th_accuracy,eval_tr_accuracy,eval_uk_accuracy,eval_vi_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_bg_accuracy,final_eval_cs_accuracy,final_eval_de_accuracy,final_eval_es_accuracy,final_eval_lv_accuracy,final_eval_af_accuracy,final_eval_ar_accuracy,final_eval_ca_accuracy,final_eval_da_accuracy,final_eval_el_accuracy,final_eval_fa_accuracy,final_eval_fi_accuracy,final_eval_fr_accuracy,final_eval_he_accuracy,final_eval_hi_accuracy,final_eval_hu_accuracy,final_eval_it_accuracy,final_eval_ja_accuracy,final_eval_ko_accuracy,final_eval_lt_accuracy,final_eval_no_accuracy,final_eval_pl_accuracy,final_eval_pt_accuracy,final_eval_ro_accuracy,final_eval_ru_accuracy,final_eval_sk_accuracy,final_eval_sl_accuracy,final_eval_sv_accuracy,final_eval_ta_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_uk_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,bert-base-multilingual-cased,udpos,baseline,1965,0,0,0,0.07819861173629761,0,0.07819861173629761,0.8687992877130502,0.8473764424123666,0.8889220128786072,0.8519726116726443,0.822323548253382,0.8747143566815698,0.5093619003260363,0.8689462617627797,0.8955402574079617,0.7887517146776406,0.7393671456056327,0.8636162548189344,0.8623033598757041,0.6010961436872689,0.6876093705898956,0.8172073882668198,0.8471400394477318,0.4961258151131569,0.6502526333818618,0.8235619469026548,0.9129680304344924,0.836507514689816,0.8324080396639254,0.843317407815754,0.8213501887455008,0.8348926380368098,0.841028555192499,0.905632695834425,0.5958810068649886,0.5416051206302314,0.7229510099837474,0.8290394031242714,0.6275198661647846,0.6542624042624042,0.7765985992035102,0.9661043608194723,0.8687992877130502,0.8473764424123666,0.8889220128786072,0.8519726116726443,0.822323548253382,0.8747143566815698,0.5093619003260363,0.8689462617627797,0.8955402574079617,0.7887517146776406,0.7393671456056327,0.8636162548189344,0.8623033598757041,0.6010961436872689,0.6876093705898956,0.8172073882668198,0.8471400394477318,0.4961258151131569,0.6502526333818618,0.8235619469026548,0.9129680304344924,0.836507514689816,0.8324080396639254,0.843317407815754,0.8213501887455008,0.8348926380368098,0.841028555192499,0.905632695834425,0.5958810068649886,0.5416051206302314,0.7229510099837474,0.8290394031242714,0.6275198661647846,0.6542624042624042,0.7765985992035102,0.9661043608194723
42,bert-base-multilingual-cased,udpos,baseline,1965,0,0,0,0.06437498331069946,0,0.06437498331069946,0.849338590689392,0.8263662094491617,0.8750894347722394,0.8509129442451907,0.8082677016995139,0.8707401887729757,0.5057289240801118,0.8652063010582193,0.8863613688516412,0.7719250114311843,0.7352327152155226,0.8465524868861783,0.8545348611380851,0.5841257263602747,0.680581428168219,0.816346061824098,0.8490227720996951,0.4740314537782892,0.6292712169221547,0.8110250737463127,0.9016885803911099,0.8170490447928662,0.8336549594751061,0.8253705745436727,0.7928188921078044,0.8071319018404908,0.8236965478050859,0.8971443542048729,0.5780320366132723,0.5075869477642003,0.702403064778268,0.8038004196782467,0.6197406942701799,0.6396936396936397,0.7629550626219787,0.9659863945578231,0.849338590689392,0.8263662094491617,0.8750894347722394,0.8509129442451907,0.8082677016995139,0.8707401887729757,0.5057289240801118,0.8652063010582193,0.8863613688516412,0.7719250114311843,0.7352327152155226,0.8465524868861783,0.8545348611380851,0.5841257263602747,0.680581428168219,0.816346061824098,0.8490227720996951,0.4740314537782892,0.6292712169221547,0.8110250737463127,0.9016885803911099,0.8170490447928662,0.8336549594751061,0.8253705745436727,0.7928188921078044,0.8071319018404908,0.8236965478050859,0.8971443542048729,0.5780320366132723,0.5075869477642003,0.702403064778268,0.8038004196782467,0.6197406942701799,0.6396936396936397,0.7629550626219787,0.9659863945578231
66,bert-base-multilingual-cased,udpos,baseline,1965,0,0,0,0.03687821328639984,0,0.03687821328639984,0.8577969982192827,0.8369658633847846,0.8794419270212258,0.8474894033257254,0.8150130007159815,0.8663686040735221,0.5052010557366868,0.8612422874082245,0.8922478299910207,0.772748056698674,0.7257358058045765,0.8610250900587753,0.8507477180034958,0.5523639725303751,0.665763477279142,0.818260120585702,0.8394298009682625,0.48423475258918297,0.6444292198338615,0.8149889380530974,0.9058266034839485,0.821271444178699,0.8242139951904521,0.8274531422271224,0.8053726626283908,0.8221625766871166,0.8315101576928541,0.9011789363374377,0.585812356979405,0.5262074213329753,0.7087299744601812,0.8069480065283283,0.6214972814721874,0.661005661005661,0.7659024747790104,0.965671817860092,0.8577969982192827,0.8369658633847846,0.8794419270212258,0.8474894033257254,0.8150130007159815,0.8663686040735221,0.5052010557366868,0.8612422874082245,0.8922478299910207,0.772748056698674,0.7257358058045765,0.8610250900587753,0.8507477180034958,0.5523639725303751,0.665763477279142,0.818260120585702,0.8394298009682625,0.48423475258918297,0.6444292198338615,0.8149889380530974,0.9058266034839485,0.821271444178699,0.8242139951904521,0.8274531422271224,0.8053726626283908,0.8221625766871166,0.8315101576928541,0.9011789363374377,0.585812356979405,0.5262074213329753,0.7087299744601812,0.8069480065283283,0.6214972814721874,0.661005661005661,0.7659024747790104,0.965671817860092
23,bert-base-multilingual-cased,udpos,baseline,1965,0,0,0,0.04128757864236832,0,0.04128757864236832,0.8689900788603409,0.8472446629310049,0.8834963033627474,0.8531137919791327,0.8074386705354788,0.8656731246895182,0.5154479118149355,0.8687222088173452,0.8957397984635339,0.7935985368084133,0.7410864136886487,0.8605826960753333,0.8577393668673529,0.5589012150026413,0.6735252610781823,0.8286917408364437,0.8379056840595303,0.47410817031070196,0.623790357112272,0.8083517699115044,0.9064940265634386,0.8347654058523046,0.8242733723243179,0.8389072644860958,0.8240716355017119,0.8315950920245399,0.839820997300753,0.9037463976945245,0.5697940503432495,0.5044089342464527,0.726201532389134,0.8308463511307997,0.6229192806357172,0.6609224109224109,0.7700857210182503,0.9671267350870985,0.8689900788603409,0.8472446629310049,0.8834963033627474,0.8531137919791327,0.8074386705354788,0.8656731246895182,0.5154479118149355,0.8687222088173452,0.8957397984635339,0.7935985368084133,0.7410864136886487,0.8605826960753333,0.8577393668673529,0.5589012150026413,0.6735252610781823,0.8286917408364437,0.8379056840595303,0.47410817031070196,0.623790357112272,0.8083517699115044,0.9064940265634386,0.8347654058523046,0.8242733723243179,0.8389072644860958,0.8240716355017119,0.8315950920245399,0.839820997300753,0.9037463976945245,0.5697940503432495,0.5044089342464527,0.726201532389134,0.8308463511307997,0.6229192806357172,0.6609224109224109,0.7700857210182503,0.9671267350870985
17,bert-base-multilingual-cased,udpos,baseline,1965,0,0,0,0.04657634347677231,0,0.04657634347677231,0.8709615873823454,0.850407370483688,0.8870140710708323,0.8510759700032605,0.813694087500471,0.87451564828614,0.5155721161310356,0.8690152011306056,0.8930459942133094,0.8080475537265661,0.7362151541201032,0.8611514883397586,0.8579335793357934,0.603473322768093,0.6787750493931697,0.8271604938271605,0.839609108839878,0.476409666283084,0.6430590048813908,0.817754424778761,0.9045584996329173,0.8292142793870139,0.8227592554107414,0.8359671689329903,0.8253884645772979,0.844478527607362,0.83875550504333,0.905632695834425,0.5766590389016019,0.5215075421870105,0.714824703970281,0.8301468873863371,0.6228356336260978,0.6679154179154179,0.7739863092031842,0.9637057134992726,0.8709615873823454,0.850407370483688,0.8870140710708323,0.8510759700032605,0.813694087500471,0.87451564828614,0.5155721161310356,0.8690152011306056,0.8930459942133094,0.8080475537265661,0.7362151541201032,0.8611514883397586,0.8579335793357934,0.603473322768093,0.6787750493931697,0.8271604938271605,0.839609108839878,0.476409666283084,0.6430590048813908,0.817754424778761,0.9045584996329173,0.8292142793870139,0.8227592554107414,0.8359671689329903,0.8253884645772979,0.844478527607362,0.83875550504333,0.905632695834425,0.5766590389016019,0.5215075421870105,0.714824703970281,0.8301468873863371,0.6228356336260978,0.6679154179154179,0.7739863092031842,0.9637057134992726
